Prix_de_vente,CONDO,5PLEX_ET_MOINS,6PLEX_ET_PLUS,UNIFAMILIALE,ETAGES,AGE,AIRE_HABITABLE,TAXES_AN,Prox_Parc,Prox_Metro
420000,1,0,0,0,1,26,77,2282,0,0
578000,1,0,0,0,1,26,87,3060,0,0
377500,1,0,0,0,1,9,52,2977,1,1
635000,1,0,0,0,1,56,99,3107,0,1
817000,1,0,0,0,2,24,121,4353,1,1
690000,1,0,0,0,1,24,85,3699,1,1
835000,1,0,0,0,1,115,131,4839,0,1
1970000,1,0,0,0,2,115,262,11203,1,1
915000,1,0,0,0,1,115,135,6446,0,1
549000,1,0,0,0,1,71,96,3101,1,1
726000,1,0,0,0,1,56,95,4693,0,0
582000,1,0,0,0,1,56,109,3934,0,1
598000,1,0,0,0,1,110,97,3650,0,0
614500,1,0,0,0,1,71,110,4200,1,0
490000,1,0,0,0,1,39,66,2582,0,0
227000,1,0,0,0,1,115,25,1308,0,1
660000,1,0,0,0,1,38,106,4068,0,1
1445000,1,0,0,0,1,115,130,5487,0,0
525000,1,0,0,0,1,6,64,3302,0,0
725000,1,0,0,0,1,11,81,4198,1,1
537200,1,0,0,0,1,6,61,3302,0,0
581000,1,0,0,0,2,24,97,4383,1,1
500000,1,0,0,0,1,98,60,2704,1,1
472000,1,0,0,0,1,11,67,2512,1,1
710000,1,0,0,0,2,11,98,3851,1,0
425000,1,0,0,0,1,14,76,3139,1,1
750000,1,0,0,0,2,14,111,3836,1,1
394500,1,0,0,0,1,13,67,2260,0,1
755000,1,0,0,0,2,13,105,3744,0,1
825000,1,0,0,0,1,10,117,4912,1,0
749000,1,0,0,0,1,14,88,3329,1,0
887000,1,0,0,0,1,11,120,3994,1,0
465000,1,0,0,0,1,14,66,2512,0,1
400000,1,0,0,0,1,14,66,2359,0,1
605000,1,0,0,0,1,10,83,3743,1,0
577000,1,0,0,0,1,13,83,3241,0,1
499000,1,0,0,0,1,11,67,2938,1,1
735000,1,0,0,0,1,14,106,3245,1,1
530000,1,0,0,0,1,14,78,2959,1,1
375000,1,0,0,0,1,110,79,3487,1,0
233000,1,0,0,0,1,54,36,1173,0,0
315500,1,0,0,0,1,54,57,1773,0,1
415000,1,0,0,0,1,100,68,2111,1,0
223000,1,0,0,0,1,54,37,1078,0,0
360000,1,0,0,0,1,54,50,1173,0,0
130917,1,0,0,0,1,7,87,3438,0,0
339900,1,0,0,0,1,54,50,1438,0,0
406000,1,0,0,0,1,8,58,2278,1,1
757738,1,0,0,0,1,54,121,3921,0,1
235800,1,0,0,0,1,54,33,1084,0,0
328000,1,0,0,0,1,54,50,2122,0,1
305000,1,0,0,0,1,54,57,1763,0,0
233000,1,0,0,0,1,54,36,1051,0,0
415000,1,0,0,0,1,7,54,2412,0,0
582000,1,0,0,0,1,54,122,3505,0,1
506000,1,0,0,0,1,8,51,2937,1,1
226000,1,0,0,0,1,54,34,969,0,0
245000,1,0,0,0,1,54,33,1078,0,1
240000,1,0,0,0,1,54,37,1051,0,0
260000,1,0,0,0,1,16,60,1867,1,1
609200,1,0,0,0,1,56,53,724,0,0
332440,1,0,0,0,1,56,45,408,0,0
303580,1,0,0,0,1,56,44,373,0,0
332000,1,0,0,0,1,74,89,2761,1,0
497060,1,0,0,0,1,56,50,616,0,0
550000,1,0,0,0,1,7,85,3338,0,0
395000,1,0,0,0,1,7,55,2291,0,0
720000,1,0,0,0,1,54,117,3572,0,0
1274000,1,0,0,0,1,16,71,2393,1,1
243500,1,0,0,0,1,54,34,952,0,0
642500,1,0,0,0,1,7,87,3936,0,0
410000,1,0,0,0,1,7,53,2244,0,0
570000,1,0,0,0,1,54,116,3696,0,0
640000,1,0,0,0,1,54,119,4546,0,0
238000,1,0,0,0,1,54,33,1108,0,0
680000,1,0,0,0,1,12,87,3257,1,0
646000,1,0,0,0,1,7,75,3526,0,0
235000,1,0,0,0,1,54,35,1060,0,0
520000,1,0,0,0,1,54,80,2833,0,0
325000,1,0,0,0,1,54,51,1631,0,0
403000,1,0,0,0,1,13,68,2155,1,1
449500,1,0,0,0,1,115,80,2940,1,0
455000,1,0,0,0,1,115,77,3089,1,0
670000,1,0,0,0,1,115,102,4152,1,1
580000,1,0,0,0,1,110,78,3223,0,0
950000,1,0,0,0,1,115,102,5862,1,1
425000,1,0,0,0,1,115,70,2683,0,1
730000,1,0,0,0,1,115,106,4519,1,1
565000,1,0,0,0,1,19,56,3125,1,0
905000,1,0,0,0,2,7,129,5556,1,1
519000,1,0,0,0,1,140,60,2700,1,1
872000,1,0,0,0,1,56,103,4287,1,1
365000,1,0,0,0,1,7,45,2449,1,1
799000,1,0,0,0,1,100,90,3578,1,1
430000,1,0,0,0,1,41,71,2306,0,0
615000,1,0,0,0,1,56,111,3647,1,1
923550,1,0,0,0,1,110,126,4333,0,1
663000,1,0,0,0,1,56,114,3426,1,1
